"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"","GC=F","GC=F","GC=F","GC=F","GC=F",""
"04/11/2024","2.736,10","2.736,50","2.737,10","2.736,10","0.02K","nan%"
"05/11/2024","2.740,30","2.743,00","2.743,90","2.740,30","0.02K","0.15%"
"06/11/2024","2.667,60","2.734,50","2.734,50","2.659,40","0.43K","-2.65%"
"07/11/2024","2.698,40","2.662,50","2.699,10","2.662,50","0.68K","1.15%"
"08/11/2024","2.687,50","2.688,50","2.694,60","2.682,90","1.04K","-0.4%"
"11/11/2024","2.611,20","2.671,70","2.671,70","2.611,20","0.02K","-2.84%"
"12/11/2024","2.600,00","2.605,50","2.605,50","2.592,80","0.12K","-0.43%"
"13/11/2024","2.580,80","2.611,10","2.611,80","2.580,80","0.05K","-0.74%"
"14/11/2024","2.568,20","2.555,10","2.576,20","2.554,20","0.03K","-0.49%"
"15/11/2024","2.565,70","2.565,70","2.565,70","2.565,70","0.02K","-0.1%"
"18/11/2024","2.610,60","2.591,70","2.610,70","2.589,40","0.14K","1.75%"
"19/11/2024","2.627,10","2.621,90","2.627,70","2.619,30","0.09K","0.63%"
"20/11/2024","2.648,20","2.638,50","2.648,20","2.638,50","0.03K","0.8%"
"21/11/2024","2.672,10","2.659,30","2.672,10","2.655,70","0.03K","0.9%"
"22/11/2024","2.709,90","2.687,50","2.710,50","2.685,60","0.04K","1.41%"
"25/11/2024","2.616,80","2.689,40","2.689,40","2.616,80","0.09K","-3.44%"
"26/11/2024","2.620,30","2.625,60","2.625,60","2.620,30","177.86K","0.13%"
"27/11/2024","2.639,90","2.633,50","2.657,90","2.627,20","61.65K","0.75%"
"29/11/2024","2.657,00","2.636,40","2.664,30","2.620,70","3.86K","0.65%"
"02/12/2024","2.634,90","2.649,00","2.649,80","2.621,70","0.7K","-0.83%"
"03/12/2024","2.644,70","2.639,00","2.654,70","2.636,00","1.06K","0.37%"
"04/12/2024","2.653,80","2.639,20","2.658,30","2.637,00","0.25K","0.34%"
"05/12/2024","2.626,60","2.652,40","2.655,00","2.625,70","0.57K","-1.02%"
"06/12/2024","2.638,60","2.620,20","2.643,10","2.617,50","0.57K","0.46%"
"09/12/2024","2.664,90","2.632,10","2.677,10","2.630,80","0.94K","1.0%"
"10/12/2024","2.697,60","2.662,30","2.698,20","2.661,00","0.44K","1.23%"
"11/12/2024","2.733,80","2.701,80","2.733,80","2.693,10","3.39K","1.34%"
"12/12/2024","2.687,50","2.725,10","2.725,10","2.677,40","2.37K","-1.69%"
"13/12/2024","2.656,00","2.688,20","2.689,30","2.647,90","1.12K","-1.17%"
"16/12/2024","2.651,40","2.658,30","2.663,30","2.651,00","0.88K","-0.17%"
"17/12/2024","2.644,40","2.651,80","2.652,30","2.632,50","0.7K","-0.26%"
"18/12/2024","2.636,50","2.644,30","2.647,10","2.590,20","0.57K","-0.3%"
"19/12/2024","2.592,20","2.582,10","2.610,30","2.582,10","0.24K","-1.68%"
"20/12/2024","2.628,70","2.605,30","2.631,60","2.604,90","0.59K","1.41%"
"23/12/2024","2.612,30","2.620,00","2.627,70","2.611,10","0.45K","-0.62%"
"24/12/2024","2.620,00","2.613,00","2.620,00","2.609,50","0.04K","0.29%"
"26/12/2024","2.638,80","2.628,50","2.638,80","2.627,90","0.08K","0.72%"
"27/12/2024","2.617,20","2.617,70","2.617,70","2.616,40","0.64K","-0.82%"
"30/12/2024","2.606,10","2.620,70","2.626,90","2.597,00","0.79K","-0.42%"
"31/12/2024","2.629,20","2.608,40","2.629,20","2.604,90","0.4K","0.89%"
"02/01/2025","2.658,90","2.633,00","2.663,10","2.633,00","1.73K","1.13%"
"03/01/2025","2.645,00","2.658,70","2.658,70","2.641,80","0.59K","-0.52%"
